Оборудование;Узел;Номер узла;Идентификационный номер;Наименование;Тип номера;Стр.
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;900564009000020036;Система пожаротушения;Номер заказа;9
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;900560964000000016;Система АЦСС;Номер заказа;9
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Буровой станок БС-215-02;;900265740001080586;Рукав воздушный ф250;Номер заказа;9
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000000600100001;Лестница в сборе;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226010001;Кронштейн кабины;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226020001;Трап;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226030001;Площадка;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226040001;Кронштейн;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226070001;Перила;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226070011;Перила;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226080001;Перила;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226090001;Перила;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226110001;Перила;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226120001;Перила;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226130001;Перила;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226140001;Перила;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226150001;Перила;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226160001;Кронштейн;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226170001;Площадка;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226180001;Настил;Номер заказа;10
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226001002;Настил;Номер заказа;11
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226002002;Настил;Номер заказа;11
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226003002;Настил;Номер заказа;11
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226004002;Настил;Номер заказа;11
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226005002;Настил;Номер заказа;11
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226006002;Настил;Номер заказа;11
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;900080401401614006;Болт М16х140;Номер заказа;12
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;401040321600102126;Гайка М16;Номер заказа;12
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;401113711600000022;Шайба Ф16;Номер заказа;12
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;401064021600002106;Шайба стопорная Ф16;Номер заказа;12
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226103002;Труба;Номер заказа;13
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;900080401701006576;Болт М10х65;Номер заказа;13
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;401040321000102126;Гайка М10;Номер заказа;13
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;401113711000000022;Шайба Ф10;Номер заказа;13
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;401064021000002106;Шайба стопорная Ф10;Номер заказа;13
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;900080401401004596;Болт М10х45;Номер заказа;14
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;068000002226050001;Кронштейн;Номер заказа;15
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Установка ограждений;068000002226000001;900080401401604086;Болт М16х40;Номер заказа;15
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000002230210001;Подрамник;Номер заказа;17
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;900584642000002606;Виброопора;Номер заказа;17
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;900080401402004096;Болт М20х40;Номер заказа;17
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;900597336000002006;Шайба стопорная Ф20;Номер заказа;17
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;900080401701203576;Болт М12х35;Номер заказа;17
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;900597336000001206;Шайба стопорная Ф12;Номер заказа;17
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000002231000001;Рама;Номер заказа;19
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000002251000001;Рама;Номер заказа;19
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000002230062002;Крышка;Номер заказа;19
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000000200003002;Фиксатор оси;Номер заказа;19
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000000200002002;Ось;Номер заказа;19
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;401003970253202102;Шплинт;Номер заказа;19
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;900080401403017096;Болт М30х170;Номер заказа;19
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;900597336000003006;Шайба стопорная Ф30;Номер заказа;19
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000002210000001;Тележка ходовая;Номер заказа;20
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000002210000011;Тележка ходовая;Номер заказа;20
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000002200006002;Ось;Номер заказа;20
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000002200005002;Балансир;Номер заказа;20
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000002200004002;Втулка;Номер заказа;20
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000002200003002;Кольцо разрезное;Номер заказа;20
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000002200002002;Крышка;Номер заказа;20
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;900080401402007096;Болт М20х70;Номер заказа;20
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;900080401401204096;Болт М12х40;Номер заказа;20
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000000200004002;Ось;Номер заказа;20
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Часть ходовая;068000002200000001;068000000200007002;Фиксатор;Номер заказа;20
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900489855037062006;Цепь гусеничная;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488624003713126;Колесо направляющее;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900485220000371316;Механизм натяжения;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488739037131256;Цилиндр;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900489799000022016;Редуктор;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488624037131306;Звезда;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002220000001;Редуктор;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488624037131266;Звезда;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900080401402007096;Болт М20х70;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;9000401702006576;Болт М20х65;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900080401702407096;Винт М24х70;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900080401402410086;Болт М24х100;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900597336000002006;Шайба стопорная Ф20;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900597336000002406;Шайба стопорная Ф24;Номер заказа;22
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002210010001;Лыжа;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900489802100371316;Каток опорный;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002210002002;Кожух;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002210002012;Кожух;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002210031002;Крышка;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002210005002;Распорка;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002210006002;Болт;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900080401401203076;Болт М12х30;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900080401401604076;Болт М16х40;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;401077962412013126;Болт М24х120;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;401040322000102126;Гайка М20;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900597336000001206;Шайба стопорная Ф12;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900597336000101606;Шайба стопорная Ф16;Номер заказа;24
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002210020001;Лыжа;Номер заказа;26
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002210020011;Лыжа;Номер заказа;26
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002210100001;Рама;Номер заказа;26
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002210100011;Рама;Номер заказа;26
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002210001002;Кожух;Номер заказа;26
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002210003002;Крышка;Номер заказа;26
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900080476200602066;Винт М6х20;Номер заказа;26
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900080401402005596;Болт М20х55;Номер заказа;26
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000000000200001;Гидроцилиндр;Номер заказа;27
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;362000000113131002;Планка;Номер заказа;27
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000000001003002;Ось;Номер заказа;27
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;401064021600002106;Шайба стопорная Ф16;Номер заказа;27
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900080401701603596;Винт М16х35;Номер заказа;27
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;332000000105810001;Корпус;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;321000000623040021;Втулка;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;321000000623040171;Втулка;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;332000000105831002;Шток;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;311000000112023002;Гайка;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;403000180016000002;Поршень;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488601000150156;Кольцо опорное;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;401098330450030002;Кольцо;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488620001601396;Уплотнение;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488624001551986;Кольцо направляющее;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;332000000105815002;Втулка направляющая;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;321000000202076002;Кольцо;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900489515710758726;Грязесъемник;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900263163030759016;Манжета;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900561456007590156;Уплотнение;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488624000801986;Кольцо направляющее;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488615001601506;Манжета;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;403000420030837002;Заглушка;Номер заказа;29
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002230000001;Рама;Номер заказа;30
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002250000001;Канат в сборе;Номер заказа;30
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002200001002;Пята;Номер заказа;30
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488861000000016;Масленка;Номер заказа;30
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900080401402006596;Болт М20х65;Номер заказа;30
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000000200100001;Гидроцилиндр;Номер заказа;32
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002200100001;Гидроцилиндр С зав.№43;Номер заказа;32
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000000000040001;Направляющая;Номер заказа;32
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002200020001;Направляющая С зав.№43;Номер заказа;32
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000000000050001;Кронштейн;Номер заказа;32
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000002200030001;Крышка С зав.№43;Номер заказа;32
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000000104101002;Ось;Номер заказа;32
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000000104102002;Планка;Номер заказа;32
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900597336000001006;Шайба стопорная Ф10;Номер заказа;32
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900080401401003096;Болт М10х30;Номер заказа;32
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000000200006002;Фиксатор;Номер заказа;32
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;068000000200008002;Ось;Номер заказа;32
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;332000000105330011;Шток;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;332000000105410001;Корпус;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;332000000105415002;Втулка направляющая;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;321000000202084002;Кольцо;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900489515700859726;Грязесъемник;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900263163008510016;Манжета;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488601000140216;Кольцо опорное;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;401098331300058002;Кольцо;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900561456008510016;Уплотнение;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488624008590206;Кольцо направляющее;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;403000180014000002;Поршень;Номер заказа;34
Станок буровой самоходный БАРС БС-215 (БС-215.00.00.000-02 РЭ2);Тележка ходовая;068000002210000001;900488620000009796;Уплотнение;Номер заказа;34
